D s LL
0.01 0 -8.87057462097011
0.02 0 -9.21004602975067
0.05 0 -9.46206523675608
0.01 0.01 -8.4451281862735
0.02 0.01 -8.77496339486612
0.05 0.01 -9.45220582573647
0.01 0.02 -8.04295053789192
0.02 0.02 -8.35592782698238
0.05 0.02 -9.01258946513988
0.01 0.03 -7.67898312224835
0.02 0.03 -7.96293017007989
0.05 0.03 -8.58546452917426
0.01 0.04 -7.37795560715836
0.02 0.04 -7.61224127169644
0.05 0.04 -8.17842473890445
0.01 0.05 -7.18116098583857
0.02 0.05 -7.33049743118465
0.05 0.05 -7.80370538254225
0.01 0.06 -7.15830556458228
0.02 0.06 -7.16159741863821
0.05 0.06 -7.40264590138337
0.01 0.07 -7.42846900443765
0.02 0.07 -7.17847096857444
0.05 0.07 -7.08583184543963
0.01 0.08 -8.19697071565141
0.02 0.08 -7.5032917504994
0.05 0.08 -6.90552793264034
0.01 0.09 -9.81660792778779
0.02 0.09 -8.34196301327859
0.05 0.09 -6.94718882915548
0.01 0.1 -12.8691976314301
0.02 0.1 -10.0404788451897
0.05 0.1 -7.35096931280572
