D s LL
0.01 0 -12.3534994726955
0.02 0 -12.1942752574486
0.05 0 -12.6103842804633
0.01 0.01 -12.1733117707043
0.02 0.01 -12.0085076771444
0.05 0.01 -12.4073037515936
0.01 0.02 -11.9991312019479
0.02 0.02 -11.782313744893
0.05 0.02 -12.0596222848904
0.01 0.03 -11.8316291407566
0.02 0.03 -11.3512964897022
0.05 0.03 -11.6095644001849
0.01 0.04 -11.6715613923533
0.02 0.04 -10.9316278979227
0.05 0.04 -11.1694338742035
0.01 0.05 -11.2921731888686
0.02 0.05 -10.5254773208085
0.05 0.05 -10.7413602881587
0.01 0.06 -10.8947590554101
0.02 0.06 -10.1355297580031
0.05 0.06 -10.3280146803629
0.01 0.07 -10.5125185154241
0.02 0.07 -9.76512356390907
0.05 0.07 -9.93275978738505
0.01 0.08 -10.148188134547
0.02 0.08 -9.4184261338452
0.05 0.08 -9.55984309444392
0.01 0.09 -9.80512721284226
0.02 0.09 -9.10065737228317
0.05 0.09 -9.2146443520072
0.01 0.1 -9.48747581694417
0.02 0.1 -8.81837249905171
0.05 0.1 -8.90399170216851
