D s LL
0.01 0 -29.0010167583879
0.02 0 -28.58487724121
0.05 0 -28.9192821974545
0.01 0.01 -28.6981084042853
0.02 0.01 -28.283544064515
0.05 0.01 -28.6157540770725
0.01 0.02 -28.3965983754653
0.02 0.02 -27.9839689694094
0.05 0.02 -28.1566334681584
0.01 0.03 -28.0967938174475
0.02 0.03 -27.5323347649993
0.05 0.03 -26.5461642999316
0.01 0.04 -27.7990768948475
0.02 0.04 -26.6455120858591
0.05 0.04 -24.3998111531441
0.01 0.05 -27.3648331083356
0.02 0.05 -24.6939244376771
0.05 0.05 -22.3859308206254
0.01 0.06 -26.478112303584
0.02 0.06 -22.6013958567653
0.05 0.06 -20.5569563619199
0.01 0.07 -25.0236743115549
0.02 0.07 -20.6956428486425
0.05 0.07 -19.3649798054899
0.01 0.08 -22.8886854929336
0.02 0.08 -19.2156884406812
0.05 0.08 -20.1337838779509
0.01 0.09 -20.9221076214248
0.02 0.09 -18.7908650925294
0.05 0.09 -27.1849126229058
0.01 0.1 -19.3461730971124
0.02 0.1 -21.0751749677835
0.05 0.1 -51.2019578626818
