D s LL
0.01 0 -336.64959709337
0.02 0 -336.64959709337
0.05 0 -336.64959709337
0.01 0.01 -336.64959709337
0.02 0.01 -336.64959709337
0.05 0.01 -336.64959709337
0.01 0.02 -336.64959709337
0.02 0.02 -336.64959709337
0.05 0.02 -336.64959709337
0.01 0.03 -336.64959709337
0.02 0.03 -336.64959709337
0.05 0.03 -336.64959709337
0.01 0.04 -336.650184650429
0.02 0.04 -336.64959709337
0.05 0.04 -336.64959709337
0.01 0.05 -336.639014780581
0.02 0.05 -336.64959709337
0.05 0.05 -336.64959709337
0.01 0.06 -336.629859180517
0.02 0.06 -336.64959709337
0.05 0.06 -336.64959709337
0.01 0.07 -336.62280773271
0.02 0.07 -336.64959709337
0.05 0.07 -336.64959709337
0.01 0.08 -336.617954395527
0.02 0.08 -336.652790875958
0.05 0.08 -336.64959709337
0.01 0.09 -336.615397387201
0.02 0.09 -336.642102322492
0.05 0.09 -336.64959709337
0.01 0.1 -336.615239377942
0.02 0.1 -336.63344985238
0.05 0.1 -336.64959709337
