D s LL
0.01 0 -9.76157347134082
0.02 0 -9.76157347134082
0.05 0 -9.71676406207899
0.01 0.01 -9.76157347134082
0.02 0.01 -9.76157347134082
0.05 0.01 -9.66029865484011
0.01 0.02 -9.76157347134082
0.02 0.02 -9.76157347134082
0.05 0.02 -9.60404595134257
0.01 0.03 -9.76157347134082
0.02 0.03 -9.76157347134082
0.05 0.03 -9.54801884101207
0.01 0.04 -9.76157347134082
0.02 0.04 -9.76157347134082
0.05 0.04 -9.49223098891693
0.01 0.05 -9.76157347134082
0.02 0.05 -9.72434102260828
0.05 0.05 -9.4352395441322
0.01 0.06 -9.76157347134082
0.02 0.06 -9.66795473087894
0.05 0.06 -9.35278219507351
0.01 0.07 -9.76157347134082
0.02 0.07 -9.61178431925712
0.05 0.07 -9.27069313543478
0.01 0.08 -9.76157347134082
0.02 0.08 -9.55584271349649
0.05 0.08 -9.1889920720537
0.01 0.09 -9.76157347134082
0.02 0.09 -9.50014360316371
0.05 0.09 -9.10769981516386
0.01 0.1 -9.76157347134082
0.02 0.1 -9.44470148529939
0.05 0.1 -9.02683834047164
