D s LL
0.01 0 -24.088688081809
0.02 0 -24.088688081809
0.05 0 -24.088688081809
0.01 0.01 -23.5753967894272
0.02 0.01 -23.5835545275913
0.05 0.01 -24.088688081809
0.01 0.02 -23.0510322189372
0.02 0.02 -23.061635209735
0.05 0.02 -23.5571667671857
0.01 0.03 -22.5421556042921
0.02 0.03 -21.9199842827577
0.05 0.03 -21.746078309787
0.01 0.04 -21.987519362485
0.02 0.04 -20.6282030017621
0.05 0.04 -19.8861013220522
0.01 0.05 -20.890217726354
0.02 0.05 -18.8568975745717
0.05 0.05 -18.1045869914482
0.01 0.06 -19.7476632669032
0.02 0.06 -17.2181995657896
0.05 0.06 -16.458980362722
0.01 0.07 -18.8131790763883
0.02 0.07 -15.8343860661938
0.05 0.07 -14.9570496183122
0.01 0.08 -17.7712482128894
0.02 0.08 -14.9141506576634
0.05 0.08 -13.7230383230089
0.01 0.09 -17.4411169198676
0.02 0.09 -14.8564338017791
0.05 0.09 -13.2425198312535
0.01 0.1 -18.5778623039756
0.02 0.1 -16.4328561488614
0.05 0.1 -14.1410853858992
