D s LL
0.01 0 -515.00791952009
0.02 0 -515.00791952009
0.05 0 -515.00791952009
0.01 0.01 -515.00791952009
0.02 0.01 -515.00791952009
0.05 0.01 -515.00791952009
0.01 0.02 -515.00791952009
0.02 0.02 -515.00791952009
0.05 0.02 -515.00791952009
0.01 0.03 -515.004784388577
0.02 0.03 -515.00791952009
0.05 0.03 -515.00791952009
0.01 0.04 -514.98472385698
0.02 0.04 -515.00791952009
0.05 0.04 -515.00791952009
0.01 0.05 -514.979281820044
0.02 0.05 -515.00791952009
0.05 0.05 -515.00791952009
0.01 0.06 -514.989731191614
0.02 0.06 -514.998451116974
0.05 0.06 -515.00791952009
0.01 0.07 -515.017465365697
0.02 0.07 -514.983468398987
0.05 0.07 -515.00791952009
0.01 0.08 -515.06401005113
0.02 0.08 -514.983578920444
0.05 0.08 -515.00791952009
0.01 0.09 -515.131036269669
0.02 0.09 -515.00010193403
0.05 0.09 -515.00791952009
0.01 0.1 -515.220374626282
0.02 0.1 -515.034481741136
0.05 0.1 -515.00791952009
