D s LL
0.01 0 -344.684004602072
0.02 0 -344.684004602072
0.05 0 -344.684004602072
0.01 0.01 -344.684004602072
0.02 0.01 -344.684004602072
0.05 0.01 -344.684004602072
0.01 0.02 -344.684004602072
0.02 0.02 -344.684004602072
0.05 0.02 -344.684004602072
0.01 0.03 -344.684004602072
0.02 0.03 -344.684004602072
0.05 0.03 -344.684004602072
0.01 0.04 -344.689364387143
0.02 0.04 -344.684004602072
0.05 0.04 -344.684004602072
0.01 0.05 -344.746467422077
0.02 0.05 -344.684004602072
0.05 0.05 -344.684004602072
0.01 0.06 -344.805907618614
0.02 0.06 -344.684004602072
0.05 0.06 -344.684004602072
0.01 0.07 -344.867778596043
0.02 0.07 -344.684004602072
0.05 0.07 -344.684004602072
0.01 0.08 -344.93217800891
0.02 0.08 -344.701990384426
0.05 0.08 -344.684004602072
0.01 0.09 -344.999207727248
0.02 0.09 -344.759616584357
0.05 0.09 -344.684004602072
0.01 0.1 -345.068974024894
0.02 0.1 -344.819602201303
0.05 0.1 -344.684004602072
