D s LL
0.01 0 -339.208930144308
0.02 0 -340.553968125438
0.05 0 -341.394310592535
0.01 0.01 -282.330315370463
0.02 0.01 -282.708765459883
0.05 0.01 -293.507232483775
0.01 0.02 -691.599027130227
0.02 0.02 -672.359583820401
0.05 0.02 -571.101559248145
0.01 0.03 -949.478102682281
0.02 0.03 -935.43108734114
0.05 0.03 -864.980926757358
0.01 0.04 -1292.99364089384
0.02 0.04 -1261.26648022233
0.05 0.04 -1212.76489828473
0.01 0.05 -1470.23990573234
0.02 0.05 -1506.6724805973
0.05 0.05 -1417.2249595747
0.01 0.06 -1586.61708892993
0.02 0.06 -1598.19715119976
0.05 0.06 -1567.79562065442
0.01 0.07 -1713.69805557874
0.02 0.07 -1703.37015078516
0.05 0.07 -1672.88284454554
0.01 0.08 -1827.38544548903
0.02 0.08 -1842.08951274926
0.05 0.08 -1803.60835378271
0.01 0.09 -1924.00872226587
0.02 0.09 -1974.02907126231
0.05 0.09 -2010.23920923035
0.01 0.1 -1992.54051315777
0.02 0.1 -2099.4740684132
0.05 0.1 -2200.89678497224
