D s LL
0.01 0 -277249.711918326
0.02 0 -284510.258380519
0.05 0 -285775.797308233
0.01 0.01 -279443.763055675
0.02 0.01 -285468.439911806
0.05 0.01 -286489.886862574
0.01 0.02 -281287.704983154
0.02 0.02 -286323.267177579
0.05 0.02 -287145.927991557
0.01 0.03 -282849.794012774
0.02 0.03 -287092.640485106
0.05 0.03 -287750.286655325
0.01 0.04 -284194.028264557
0.02 0.04 -287791.291819703
0.05 0.04 -288306.89494919
0.01 0.05 -285366.440105976
0.02 0.05 -288428.938082624
0.05 0.05 -288819.046901236
0.01 0.06 -286395.639856175
0.02 0.06 -289011.064454492
0.05 0.06 -289290.323323146
0.01 0.07 -287293.796183555
0.02 0.07 -289542.894956218
0.05 0.07 -289723.955457653
0.01 0.08 -288079.774101201
0.02 0.08 -290028.283564583
0.05 0.08 -290123.282171983
0.01 0.09 -288776.017870261
0.02 0.09 -290471.665401265
0.05 0.09 -290491.014742296
0.01 0.1 -289398.938863641
0.02 0.1 -290877.262187226
0.05 0.1 -290829.276257739
