D s LL
0.01 0 -786.887365972226
0.02 0 -786.887365972226
0.05 0 -786.887365972226
0.01 0.01 -786.887365972226
0.02 0.01 -786.887365972226
0.05 0.01 -786.887365972226
0.01 0.02 -786.887365972226
0.02 0.02 -786.887365972226
0.05 0.02 -786.887365972226
0.01 0.03 -786.887365972226
0.02 0.03 -786.887365972226
0.05 0.03 -786.887365972226
0.01 0.04 -786.809391147305
0.02 0.04 -786.887365972226
0.05 0.04 -786.887365972226
0.01 0.05 -786.279520275989
0.02 0.05 -786.887365972226
0.05 0.05 -786.887365972226
0.01 0.06 -785.808901500557
0.02 0.06 -786.887365972226
0.05 0.06 -786.887365972226
0.01 0.07 -785.407665070779
0.02 0.07 -786.954896252328
0.05 0.07 -786.887365972226
0.01 0.08 -785.087762297872
0.02 0.08 -786.639305346578
0.05 0.08 -786.887365972226
0.01 0.09 -784.863301537726
0.02 0.09 -786.162497825993
0.05 0.09 -786.887365972226
0.01 0.1 -784.750946044105
0.02 0.1 -785.754441919079
0.05 0.1 -786.887365972226
