D s LL
0.01 0 -6.60502486391397
0.02 0 -6.60502486391397
0.05 0 -6.60502486391397
0.01 0.01 -6.60502486391397
0.02 0.01 -6.60502486391397
0.05 0.01 -6.60502486391397
0.01 0.02 -6.60502486391397
0.02 0.02 -6.60502486391397
0.05 0.02 -6.60502486391397
0.01 0.03 -6.60502486391397
0.02 0.03 -6.60502486391397
0.05 0.03 -6.60502486391397
0.01 0.04 -6.60502486391397
0.02 0.04 -6.60502486391397
0.05 0.04 -6.60502486391397
0.01 0.05 -6.60502486391397
0.02 0.05 -6.60502486391397
0.05 0.05 -6.60502486391397
0.01 0.06 -6.60502486391397
0.02 0.06 -6.60502486391397
0.05 0.06 -6.60502486391397
0.01 0.07 -6.60502486391397
0.02 0.07 -6.60502486391397
0.05 0.07 -6.60502486391397
0.01 0.08 -6.60502486391397
0.02 0.08 -6.60502486391397
0.05 0.08 -6.60502486391397
0.01 0.09 -6.60502486391397
0.02 0.09 -6.60502486391397
0.05 0.09 -6.60502486391397
0.01 0.1 -6.60502486391397
0.02 0.1 -6.60502486391397
0.05 0.1 -6.60502486391397
