D s LL
0.01 0 -3211.46585709577
0.02 0 -3193.75926913034
0.05 0 -3178.29217255765
0.01 0.01 -3240.17568462206
0.02 0.01 -3209.87230559208
0.05 0.01 -3180.18143237006
0.01 0.02 -3281.86663223398
0.02 0.02 -3240.68583584926
0.05 0.02 -3198.95501521273
0.01 0.03 -3362.3671769336
0.02 0.03 -3309.37086667712
0.05 0.03 -3250.51127405801
0.01 0.04 -3516.31706330379
0.02 0.04 -3445.70854054494
0.05 0.04 -3361.2142791572
0.01 0.05 -3784.07372669702
0.02 0.05 -3686.52319761896
0.05 0.05 -3578.19517058514
0.01 0.06 -4230.72789193745
0.02 0.06 -4099.37676576413
0.05 0.06 -3963.60565002783
0.01 0.07 -4966.59864623584
0.02 0.07 -4789.24824677121
0.05 0.07 -4612.77570115372
0.01 0.08 -6179.02611983989
0.02 0.08 -5924.90964251987
0.05 0.08 -5677.10025105277
0.01 0.09 -8173.61154297548
0.02 0.09 -7781.75421302061
0.05 0.09 -7400.65673271912
0.01 0.1 -11399.0326707369
0.02 0.1 -10797.1084552123
0.05 0.1 -10178.3740230659
