D s LL
0.01 0 -21.0261276085214
0.02 0 -20.4949918748368
0.05 0 -21.6088145329059
0.01 0.01 -20.1127523423676
0.02 0.01 -19.4826606440973
0.05 0.01 -20.5974024316494
0.01 0.02 -19.1021181416361
0.02 0.02 -18.4678740313623
0.05 0.02 -19.583137690577
0.01 0.03 -18.0912110528961
0.02 0.03 -17.4510563725822
0.05 0.03 -18.5655732415439
0.01 0.04 -17.0824619067071
0.02 0.04 -16.4336343803886
0.05 0.04 -17.5444622520498
0.01 0.05 -16.0806616411856
0.02 0.05 -15.4189170920124
0.05 0.05 -16.5201036863179
0.01 0.06 -15.0944732161531
0.02 0.06 -14.4134830329859
0.05 0.06 -15.4939712093259
0.01 0.07 -14.1385440699902
0.02 0.07 -13.4292123063663
0.05 0.07 -14.4697670486778
0.01 0.08 -13.2362598754128
0.02 0.08 -12.4860472496282
0.05 0.08 -13.4550493781459
0.01 0.09 -12.4230898859821
0.02 0.09 -11.6154745959493
0.05 0.09 -12.4635408553728
0.01 0.1 -11.7503185423961
0.02 0.1 -10.8646235854553
0.05 0.1 -11.5181323303887
