D s LL
0.01 0 -46.6961012142919
0.02 0 -46.3410711701777
0.05 0 -46.2455584941082
0.01 0.01 -45.7548170000305
0.02 0.01 -44.8521967226299
0.05 0.01 -44.346821926215
0.01 0.02 -44.0495281926307
0.02 0.02 -41.7660384362714
0.05 0.02 -41.2466421512376
0.01 0.03 -41.4737666621881
0.02 0.03 -38.7871770385078
0.05 0.03 -38.3099709037271
0.01 0.04 -38.6893445437001
0.02 0.04 -36.1975030576878
0.05 0.04 -35.8290968566416
0.01 0.05 -36.4448729513314
0.02 0.05 -35.1811167618083
0.05 0.05 -34.925302489391
0.01 0.06 -38.6841684534455
0.02 0.06 -47.0046672408392
0.05 0.06 -47.5550374503394
0.01 0.07 -58.4223116959475
0.02 0.07 -82.0484224777646
0.05 0.07 -83.9170822309769
0.01 0.08 -86.8029254667777
0.02 0.08 -94.4322245015013
0.05 0.08 -92.9664431626045
0.01 0.09 -100.644144304914
0.02 0.09 -108.983484616341
0.05 0.09 -104.495130136305
0.01 0.1 -119.434228227695
0.02 0.1 -134.833120328327
0.05 0.1 -127.993163601419
