D s LL
0.01 0 -72.369854423178
0.02 0 -72.3511610410945
0.05 0 -71.8851996956479
0.01 0.01 -72.369854423178
0.02 0.01 -71.9892159798657
0.05 0.01 -71.8476007024603
0.01 0.02 -72.0980921621769
0.02 0.02 -71.2995429595092
0.05 0.02 -71.381933262744
0.01 0.03 -71.4462752516261
0.02 0.03 -70.1576789125452
0.05 0.03 -70.2646530554332
0.01 0.04 -70.4795234955567
0.02 0.04 -69.0224385810334
0.05 0.04 -68.3396562792298
0.01 0.05 -69.3762765696082
0.02 0.05 -67.5617564658139
0.05 0.05 -65.6329488102327
0.01 0.06 -68.3119663052773
0.02 0.06 -65.4496781636044
0.05 0.06 -62.3356462570688
0.01 0.07 -67.2251153469996
0.02 0.07 -63.1966488498588
0.05 0.07 -59.0172514571449
0.01 0.08 -65.7616180243707
0.02 0.08 -61.0014156101706
0.05 0.08 -55.2486055495448
0.01 0.09 -63.9336700286377
0.02 0.09 -58.8825916350413
0.05 0.09 -51.4202161191119
0.01 0.1 -62.2917656845829
0.02 0.1 -57.2629848196418
0.05 0.1 -48.2842278559928
