D s LL
0.01 0 -4726.56817253329
0.02 0 -4764.35164803017
0.05 0 -4773.1200742922
0.01 0.01 -3917.51973736838
0.02 0.01 -4008.89871190177
0.05 0.01 -4191.09891539758
0.01 0.02 -6049.28025449463
0.02 0.02 -5630.92051320484
0.05 0.02 -5133.56074592855
0.01 0.03 -7183.76712232536
0.02 0.03 -6915.43460531091
0.05 0.03 -6745.49257453263
0.01 0.04 -7923.52576592333
0.02 0.04 -7885.64244834438
0.05 0.04 -7655.81368656257
0.01 0.05 -8646.3477185335
0.02 0.05 -8592.04068735342
0.05 0.05 -8377.15489632041
0.01 0.06 -9183.47036384946
0.02 0.06 -9326.12670382859
0.05 0.06 -9149.76242646226
0.01 0.07 -9721.28299141702
0.02 0.07 -9855.23295904844
0.05 0.07 -9815.02461908397
0.01 0.08 -10176.6858288634
0.02 0.08 -10316.1111496169
0.05 0.08 -10327.8649553415
0.01 0.09 -10494.2619954005
0.02 0.09 -10679.6298990434
0.05 0.09 -10704.2181975379
0.01 0.1 -10749.9555919116
0.02 0.1 -10996.0006756473
0.05 0.1 -11065.1225094355
