D s LL
0.01 0 -28.1008470255734
0.02 0 -27.9567375167038
0.05 0 -34.4842034200255
0.01 0.01 -26.1561132607453
0.02 0.01 -25.8213194873918
0.05 0.01 -32.1241471657345
0.01 0.02 -24.3230413805034
0.02 0.02 -23.7826697300954
0.05 0.02 -29.7979171101514
0.01 0.03 -22.6434026508402
0.02 0.03 -21.8882218977475
0.05 0.03 -27.5282773568195
0.01 0.04 -21.1885089860526
0.02 0.04 -20.2179770663463
0.05 0.04 -25.3536469487261
0.01 0.05 -20.080022259837
0.02 0.05 -18.9062555967429
0.05 0.05 -23.3389001811696
0.01 0.06 -19.5143235307122
0.02 0.06 -18.1749909301283
0.05 0.06 -21.5922553901086
0.01 0.07 -19.7733399461
0.02 0.07 -18.3822056548805
0.05 0.07 -20.2906598960203
0.01 0.08 -21.2196763425167
0.02 0.08 -20.0848198441609
0.05 0.08 -19.7168655638847
0.01 0.09 -24.297611053451
0.02 0.09 -24.0934671761598
0.05 0.09 -20.3117345985056
0.01 0.1 -29.5218438274543
0.02 0.1 -31.4460872156402
0.05 0.1 -22.7410313637849
