D s LL
0.01 0 -105.618300726176
0.02 0 -107.044790498922
0.05 0 -109.697521684664
0.01 0.01 -104.900164060394
0.02 0.01 -106.364728509129
0.05 0.01 -108.754811118461
0.01 0.02 -104.167594121853
0.02 0.02 -105.666328122037
0.05 0.02 -107.750305728539
0.01 0.03 -103.42189585943
0.02 0.03 -104.836455231786
0.05 0.03 -106.723929231379
0.01 0.04 -102.664728389297
0.02 0.04 -103.917064698222
0.05 0.04 -105.675061026019
0.01 0.05 -101.898140317373
0.02 0.05 -102.77012157108
0.05 0.05 -104.578105465202
0.01 0.06 -101.124606440161
0.02 0.06 -101.606412432918
0.05 0.06 -103.406249103042
0.01 0.07 -100.347065457523
0.02 0.07 -100.428005709587
0.05 0.07 -102.211215226638
0.01 0.08 -99.5689580455831
0.02 0.08 -99.2376190799421
0.05 0.08 -100.994408265462
0.01 0.09 -98.7942642800342
0.02 0.09 -98.038720287666
0.05 0.09 -99.7581565358429
0.01 0.1 -97.8344195062951
0.02 0.1 -96.8356395255009
0.05 0.1 -98.4979359243604
