D s LL
0.01 0 -8.33070745056078
0.02 0 -8.34467915018119
0.05 0 -9.16471991380144
0.01 0.01 -7.82179857380021
0.02 0.01 -7.82764996721844
0.05 0.01 -8.61869746568206
0.01 0.02 -7.33796506032207
0.02 0.02 -7.33268763134546
0.05 0.02 -8.08503982582437
0.01 0.03 -6.8910970465582
0.02 0.03 -6.86990958301187
0.05 0.03 -7.56924773216325
0.01 0.04 -6.49903527901876
0.02 0.04 -6.45429952351209
0.05 0.04 -7.07939999967423
0.01 0.05 -6.18865626607327
0.02 0.05 -6.1081172123587
0.05 0.05 -6.6273742957495
0.01 0.06 -6.00058514770098
0.02 0.06 -5.86454989806193
0.05 0.06 -6.23065839574699
0.01 0.07 -5.99625983119899
0.02 0.07 -5.77323785767617
0.05 0.07 -5.91504153759158
0.01 0.08 -6.26795107197714
0.02 0.08 -5.90852357247422
0.05 0.08 -5.71860415608622
0.01 0.09 -6.95108732208337
0.02 0.09 -6.38128234072406
0.05 0.09 -5.69756853607359
0.01 0.1 -8.23415756940212
0.02 0.1 -7.35423488718173
0.05 0.1 -5.93463630892322
