D s LL
0.01 0 -181218.820010544
0.02 0 -186298.023140284
0.05 0 -170783.597064525
0.01 0.01 -183473.65000612
0.02 0.01 -188797.01732627
0.05 0.01 -178872.496887289
0.01 0.02 -185743.554776392
0.02 0.02 -191070.371931946
0.05 0.02 -184545.153673501
0.01 0.03 -187997.12744558
0.02 0.03 -193134.391651969
0.05 0.03 -188787.606452711
0.01 0.04 -190169.224358485
0.02 0.04 -195005.687192149
0.05 0.04 -192123.106063423
0.01 0.05 -192212.29366762
0.02 0.05 -196699.419963529
0.05 0.05 -194835.872333765
0.01 0.06 -194107.826420109
0.02 0.06 -198233.730615088
0.05 0.06 -197102.438171123
0.01 0.07 -195850.71408027
0.02 0.07 -199628.532539351
0.05 0.07 -199035.186047325
0.01 0.08 -197443.106432882
0.02 0.08 -200903.76639737
0.05 0.08 -200709.900384144
0.01 0.09 -198894.91721932
0.02 0.09 -202074.680430274
0.05 0.09 -202180.373571234
0.01 0.1 -200218.048859585
0.02 0.1 -203153.129819314
0.05 0.1 -203482.853817867
