D s LL
0.01 0 -173.04314704447
0.02 0 -149.423706674334
0.05 0 -124.200027958711
0.01 0.01 -172.475207313096
0.02 0.01 -149.187065293241
0.05 0.01 -123.684008246031
0.01 0.02 -172.11368112977
0.02 0.02 -149.148386385946
0.05 0.02 -123.380160628567
0.01 0.03 -171.96105185431
0.02 0.03 -149.310568537607
0.05 0.03 -123.291239255162
0.01 0.04 -172.019147958673
0.02 0.04 -149.675946488166
0.05 0.04 -123.419586931701
0.01 0.05 -172.289171122429
0.02 0.05 -150.246302396878
0.05 0.05 -123.76712580738
0.01 0.06 -172.771731249266
0.02 0.06 -151.022883723859
0.05 0.06 -124.335351790153
0.01 0.07 -173.46688693857
0.02 0.07 -152.006426769047
0.05 0.07 -125.125332687879
0.01 0.08 -174.374189805866
0.02 0.08 -153.197184761275
0.05 0.08 -126.137709964645
0.01 0.09 -175.492730983332
0.02 0.09 -154.594959293365
0.05 0.09 -127.372703900308
0.01 0.1 -176.821188147986
0.02 0.1 -156.199133857607
0.05 0.1 -128.830121850666
