D s LL
0.01 0 -8.39102466141549
0.02 0 -8.39102466141549
0.05 0 -8.39102466141549
0.01 0.01 -8.39102466141549
0.02 0.01 -8.39102466141549
0.05 0.01 -8.39102466141549
0.01 0.02 -8.39102466141549
0.02 0.02 -8.39102466141549
0.05 0.02 -8.39102466141549
0.01 0.03 -8.39102466141549
0.02 0.03 -8.39102466141549
0.05 0.03 -8.39102466141549
0.01 0.04 -8.39102466141549
0.02 0.04 -8.39102466141549
0.05 0.04 -8.39102466141549
0.01 0.05 -8.39102466141549
0.02 0.05 -8.39102466141549
0.05 0.05 -8.39102466141549
0.01 0.06 -8.39102466141549
0.02 0.06 -8.39102466141549
0.05 0.06 -8.39102466141549
0.01 0.07 -8.39102466141549
0.02 0.07 -8.39102466141549
0.05 0.07 -8.39102466141549
0.01 0.08 -8.39102466141549
0.02 0.08 -8.39102466141549
0.05 0.08 -8.11451146677253
0.01 0.09 -8.39102466141549
0.02 0.09 -8.39102466141549
0.05 0.09 -7.68508806945393
0.01 0.1 -8.39102466141549
0.02 0.1 -8.39102466141549
0.05 0.1 -7.26181553791409
