D s LL
0.01 0 -24.8438887428245
0.02 0 -23.6419122678585
0.05 0 -23.7197132474615
0.01 0.01 -23.2552774832213
0.02 0.01 -21.6522442994076
0.05 0.01 -21.576334927523
0.01 0.02 -21.4531298300542
0.02 0.02 -19.7750378984366
0.05 0.02 -19.2283455694694
0.01 0.03 -19.7176549375999
0.02 0.03 -18.1156948026141
0.05 0.03 -17.0430362005632
0.01 0.04 -18.3755068888152
0.02 0.04 -16.4683570168767
0.05 0.04 -15.1595711481945
0.01 0.05 -17.8966323506596
0.02 0.05 -15.7412213530035
0.05 0.05 -13.8527858017711
0.01 0.06 -19.4886463177943
0.02 0.06 -17.108742157739
0.05 0.06 -13.6985014550024
0.01 0.07 -26.0187876619028
0.02 0.07 -23.7823717001379
0.05 0.07 -16.0096870959084
0.01 0.08 -42.9125434704386
0.02 0.08 -43.577933406259
0.05 0.08 -24.0677670727806
0.01 0.09 -74.4955673629673
0.02 0.09 -80.6963743084848
0.05 0.09 -45.3255448150115
0.01 0.1 -111.114326775818
0.02 0.1 -118.585755327401
0.05 0.1 -83.129169236578
