D s LL
0.01 0 -19.9197589824267
0.02 0 -18.8822208052715
0.05 0 -16.5697576134381
0.01 0.01 -19.8911426309282
0.02 0.01 -18.8146431020147
0.05 0.01 -16.3497029006353
0.01 0.02 -19.8738790752359
0.02 0.02 -18.756687087573
0.05 0.02 -16.1348175947063
0.01 0.03 -19.8684909877509
0.02 0.03 -18.6504365293444
0.05 0.03 -15.9254702022046
0.01 0.04 -19.8755059140026
0.02 0.04 -18.5436252326721
0.05 0.04 -15.7220413282177
0.01 0.05 -19.8954545896338
0.02 0.05 -18.447384461133
0.05 0.05 -15.5249235179011
0.01 0.06 -19.9288690568326
0.02 0.06 -18.3621918781198
0.05 0.06 -15.334521018392
0.01 0.07 -19.9762805749422
0.02 0.07 -18.2885281891772
0.05 0.07 -15.1512494518838
0.01 0.08 -20.0382173224133
0.02 0.08 -18.2268755334733
0.05 0.08 -14.9755353906179
0.01 0.09 -20.1152018901338
0.02 0.09 -18.1777157008546
0.05 0.09 -14.807815824674
0.01 0.1 -20.2077485694697
0.02 0.1 -18.1415281718672
0.05 0.1 -14.6485375137378
