D s LL
0.01 0 -1180.20684389172
0.02 0 -1180.20684389172
0.05 0 -1180.20684389172
0.01 0.01 -1180.20684389172
0.02 0.01 -1180.20684389172
0.05 0.01 -1180.20684389172
0.01 0.02 -1180.20684389172
0.02 0.02 -1180.20684389172
0.05 0.02 -1180.20684389172
0.01 0.03 -1180.20684389172
0.02 0.03 -1180.20684389172
0.05 0.03 -1180.20684389172
0.01 0.04 -1180.12736419071
0.02 0.04 -1180.20684389172
0.05 0.04 -1180.20684389172
0.01 0.05 -1179.58171213211
0.02 0.05 -1180.20684389172
0.05 0.05 -1180.20684389172
0.01 0.06 -1179.20434560015
0.02 0.06 -1180.21709759394
0.05 0.06 -1180.20684389172
0.01 0.07 -1179.03698086136
0.02 0.07 -1180.37492514519
0.05 0.07 -1180.20684389172
0.01 0.08 -1179.10646413132
0.02 0.08 -1180.07008536804
0.05 0.08 -1180.20684389172
0.01 0.09 -1179.40518756413
0.02 0.09 -1179.60083009145
0.05 0.09 -1180.20684389172
0.01 0.1 -1180.40777632092
0.02 0.1 -1179.59601005729
0.05 0.1 -1180.2319555927
