D s LL
0.01 0 -5.27228647561438
0.02 0 -5.5921494070564
0.05 0 -6.54874468433367
0.01 0.01 -5.19392391024031
0.02 0.01 -5.50874093533299
0.05 0.01 -6.45636170749256
0.01 0.02 -5.11707751456118
0.02 0.02 -5.42656222494816
0.05 0.02 -6.36456491476893
0.01 0.03 -5.0418244716846
0.02 0.03 -5.34568289968055
0.05 0.03 -6.27340597342388
0.01 0.04 -4.96824378720515
0.02 0.04 -5.26617428064264
0.05 0.04 -6.18293801436596
0.01 0.05 -4.89641630837571
0.02 0.05 -5.18810940362138
0.05 0.05 -6.09321564212406
0.01 0.06 -4.82642474262517
0.02 0.06 -5.1115630363031
0.05 0.06 -6.00429494516219
0.01 0.07 -4.75835367520714
0.02 0.07 -5.03661169523264
0.05 0.07 -5.91623350653402
0.01 0.08 -4.69228958574613
0.02 0.08 -4.96333366234133
0.05 0.08 -5.82909041486335
0.01 0.09 -4.62832086342951
0.02 0.09 -4.89180900085965
0.05 0.09 -5.74292627562416
0.01 0.1 -4.56653782057523
0.02 0.1 -4.82211957041439
0.05 0.1 -5.65780322268144
