D s LL
0.01 0 -207.592175495258
0.02 0 -207.592175495258
0.05 0 -207.592175495258
0.01 0.01 -207.592175495258
0.02 0.01 -207.592175495258
0.05 0.01 -207.592175495258
0.01 0.02 -207.592175495258
0.02 0.02 -207.592175495258
0.05 0.02 -207.592175495258
0.01 0.03 -207.59161187952
0.02 0.03 -207.592175495258
0.05 0.03 -207.592175495258
0.01 0.04 -207.579706240944
0.02 0.04 -207.592175495258
0.05 0.04 -207.592175495258
0.01 0.05 -207.568094651999
0.02 0.05 -207.592175495258
0.05 0.05 -207.592175495258
0.01 0.06 -207.556782317195
0.02 0.06 -207.590719242151
0.05 0.06 -207.592175495258
0.01 0.07 -207.545774538075
0.02 0.07 -207.578835873323
0.05 0.07 -207.592175495258
0.01 0.08 -207.535076715065
0.02 0.08 -207.567246947179
0.05 0.08 -207.592175495258
0.01 0.09 -207.524694349362
0.02 0.09 -207.555957675166
0.05 0.09 -207.592175495258
0.01 0.1 -207.51463304485
0.02 0.1 -207.54497336588
0.05 0.1 -207.592175495258
