D s LL
0.01 0 -23.1022099481013
0.02 0 -24.0940346856843
0.05 0 -24.8694007948626
0.01 0.01 -22.3327991621023
0.02 0.01 -23.2008041860735
0.05 0.01 -24.6268854703687
0.01 0.02 -21.5751324131912
0.02 0.02 -22.1200882515414
0.05 0.02 -23.5689374191248
0.01 0.03 -20.631745687182
0.02 0.03 -20.7162109114285
0.05 0.03 -22.1149264558397
0.01 0.04 -19.2502075634724
0.02 0.04 -19.2680763398171
0.05 0.04 -20.648417493711
0.01 0.05 -17.918876189847
0.02 0.05 -17.857128596482
0.05 0.05 -19.2026689508732
0.01 0.06 -16.7186167787202
0.02 0.06 -16.5090272613212
0.05 0.06 -17.7905335612559
0.01 0.07 -15.7394999644791
0.02 0.07 -15.2664422378362
0.05 0.07 -16.4330065580514
0.01 0.08 -15.1250044291928
0.02 0.08 -14.1988789526101
0.05 0.08 -15.1643142700866
0.01 0.09 -15.0983768838462
0.02 0.09 -13.4168364105555
0.05 0.09 -13.8822393615129
0.01 0.1 -15.9970774833637
0.02 0.1 -13.0916561950159
0.05 0.1 -12.7641436401955
